product_id,category,sub_category,article_type,gender,base_colour,season,usage,display_name,image_path
26811,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26811,/images/26811.jpg
12189,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12189,/data/images/12189.jpg
25068,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 25068,/data/images/25068.jpg
26548,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26548,/data/images/26548.jpg
31972,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 31972,/data/images/31972.jpg
24652,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 24652,/data/images/24652.jpg
26854,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26854,/data/images/26854.jpg
13353,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 13353,/data/images/13353.jpg
13438,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 13438,/data/images/13438.jpg
34479,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 34479,/data/images/34479.jpg
29962,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 29962,/data/images/29962.jpg
2255,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 2255,/data/images/2255.jpg
27828,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27828,/data/images/27828.jpg
12950,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12950,/data/images/12950.jpg
19758,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 19758,/data/images/19758.jpg
15334,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 15334,/data/images/15334.jpg
11602,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 11602,/data/images/11602.jpg
23680,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23680,/data/images/23680.jpg
10192,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 10192,/data/images/10192.jpg
25941,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 25941,/data/images/25941.jpg
20362,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 20362,/data/images/20362.jpg
18979,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 18979,/data/images/18979.jpg
29489,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 29489,/data/images/29489.jpg
17268,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 17268,/data/images/17268.jpg
32394,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 32394,/data/images/32394.jpg
27677,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27677,/data/images/27677.jpg
13734,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 13734,/data/images/13734.jpg
31257,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 31257,/data/images/31257.jpg
29529,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 29529,/data/images/29529.jpg
24654,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 24654,/data/images/24654.jpg
34291,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 34291,/data/images/34291.jpg
20923,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 20923,/data/images/20923.jpg
32644,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 32644,/data/images/32644.jpg
15197,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 15197,/data/images/15197.jpg
17011,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 17011,/data/images/17011.jpg
19925,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 19925,/data/images/19925.jpg
33454,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 33454,/data/images/33454.jpg
26334,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26334,/data/images/26334.jpg
17642,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 17642,/data/images/17642.jpg
23282,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23282,/data/images/23282.jpg
11301,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 11301,/data/images/11301.jpg
25090,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 25090,/data/images/25090.jpg
30735,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 30735,/data/images/30735.jpg
30333,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 30333,/data/images/30333.jpg
30098,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 30098,/data/images/30098.jpg
27810,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27810,/data/images/27810.jpg
24929,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 24929,/data/images/24929.jpg
12913,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12913,/data/images/12913.jpg
26414,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26414,/data/images/26414.jpg
28248,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 28248,/data/images/28248.jpg
29407,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 29407,/data/images/29407.jpg
18560,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 18560,/data/images/18560.jpg
30462,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 30462,/data/images/30462.jpg
27261,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27261,/data/images/27261.jpg
33419,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 33419,/data/images/33419.jpg
27046,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27046,/data/images/27046.jpg
12743,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12743,/data/images/12743.jpg
15089,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 15089,/data/images/15089.jpg
14040,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 14040,/data/images/14040.jpg
23789,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23789,/data/images/23789.jpg
13556,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 13556,/data/images/13556.jpg
24768,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 24768,/data/images/24768.jpg
21418,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 21418,/data/images/21418.jpg
2743,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 2743,/data/images/2743.jpg
16627,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 16627,/data/images/16627.jpg
16456,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 16456,/data/images/16456.jpg
28882,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 28882,/data/images/28882.jpg
28586,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 28586,/data/images/28586.jpg
23859,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23859,/data/images/23859.jpg
20170,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 20170,/data/images/20170.jpg
31718,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 31718,/data/images/31718.jpg
20155,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 20155,/data/images/20155.jpg
10362,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 10362,/data/images/10362.jpg
34565,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 34565,/data/images/34565.jpg
27537,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27537,/data/images/27537.jpg
23932,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23932,/data/images/23932.jpg
18385,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 18385,/data/images/18385.jpg
31834,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 31834,/data/images/31834.jpg
12987,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12987,/data/images/12987.jpg
2048,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 2048,/data/images/2048.jpg
1853,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 1853,/data/images/1853.jpg
18292,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 18292,/data/images/18292.jpg
