id,masterCategory,subCategory,articleType,gender,baseColour,season,usage,productDisplayName
26811,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26811
12189,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12189
25068,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 25068
26548,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26548
31972,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 31972
24652,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 24652
26854,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26854
13353,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 13353
13438,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 13438
34479,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 34479
29962,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 29962
2255,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 2255
27828,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27828
12950,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12950
19758,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 19758
15334,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 15334
11602,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 11602
23680,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23680
10192,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 10192
25941,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 25941
20362,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 20362
18979,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 18979
29489,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 29489
17268,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 17268
32394,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 32394
27677,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27677
13734,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 13734
31257,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 31257
29529,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 29529
24654,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 24654
34291,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 34291
20923,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 20923
32644,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 32644
15197,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 15197
17011,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 17011
19925,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 19925
33454,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 33454
26334,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26334
17642,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 17642
23282,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23282
11301,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 11301
25090,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 25090
30735,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 30735
30333,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 30333
30098,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 30098
27810,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27810
24929,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 24929
12913,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12913
26414,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 26414
28248,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 28248
29407,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 29407
18560,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 18560
30462,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 30462
27261,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27261
33419,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 33419
27046,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27046
12743,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12743
15089,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 15089
14040,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 14040
23789,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23789
13556,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 13556
24768,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 24768
21418,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 21418
2743,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 2743
16627,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 16627
16456,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 16456
28882,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 28882
28586,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 28586
23859,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23859
20170,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 20170
31718,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 31718
20155,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 20155
10362,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 10362
34565,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 34565
27537,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 27537
23932,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 23932
18385,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 18385
31834,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 31834
12987,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 12987
2048,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 2048
1853,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 1853
18292,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 18292
13535,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 13535
10632,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 10632
17443,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 17443
16047,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 16047
20141,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 20141
34115,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 34115
17558,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 17558
18946,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 18946
25414,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 25414
22909,Apparel,Topwear,Tshirts,Unisex,Blue,Summer,Casual,Test Product 22909
